"bateria","Tem_Instr_Violao_Viola","Tem_Instr_Guitarra","Tem_Instr_Cavaco","Tem_Instr_Sintetizador_Teclado","Tem_Instr_Piano","Tem_Instr_Metais","Tem_Instr_Madeiras","Tem_Instr_Cordas","BPM","VolMedio","PctCantada","PctRap","duracao","ano_lancamento","modo","gostou","maxdb","id_cliente"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,125.70782535847,-6.62785343157622,23.9665168468333,41.1398412520945,179098,2015,"g#",TRUE,0,"#ID2828"
"Nenhuma",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,119.558946176215,-11.0326684854546,59.7442968443367,0,408142,1969,"F",FALSE,0,"#ID2828"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,83.3552851624751,-8.6040451113341,73.6996874997618,0,194773,2019,"D#",TRUE,0,"#ID2828"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,114.202856131607,-6.35491283866781,29.061338030586,66.8485176021725,212317,2003,"g",TRUE,0,"#ID2828"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,91.3318281973237,-5.92758597180113,17.9335434827209,77.8129327726818,208632,2004,"a",TRUE,0,"#ID2828"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,133.56214952077,-5.75601314823048,62.8604919357209,0,195795,2020,"e",TRUE,0,"#ID2828"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,125.747865612359,-5.31098592225829,57.2588701984565,0,287478,1992,"G",TRUE,0,"#ID2828"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,123.491160415135,-7.14958077806364,56.4908375110756,0,233234,2021,"D",FALSE,0,"#ID2828"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,122.307945289465,-5.59377635857728,44.9982566184041,0,637871,2005,"N/A",FALSE,0,"#ID2828"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,87.2636041423044,-6.49184623757534,12.2584189549582,76.9671089687571,182358,2010,"e",FALSE,0,"#ID2828"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,178.411541442946,-6.53321665626053,64.1699849547374,0,200933,2021,"c",FALSE,0,"#ID2828"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,145.273275247743,-6.32139588999902,60.5717983622908,0,174509,2017,"C",TRUE,0,"#ID2828"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,100.104071327434,-12.2643327548252,75.6378312062584,0,176090,2001,"a",FALSE,0,"#ID2828"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,99.5478524817408,-7.23017852740799,22.0653842683351,89.7483868396754,310425,2013,"A#",FALSE,0,"#ID2828"
"Nenhuma",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,116.166757635062,-7.61418393099172,79.4450022725883,24.1836349733729,304335,2008,"A",FALSE,0,"#ID2828"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,107.1550480824,-12.0314182721386,74.0701998861781,0,211487,2007,"d#",FALSE,0,"#ID2828"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,128.516122339893,-5.79229274367001,66.9735017957902,0,168617,2020,"c#",TRUE,0,"#ID2828"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,136.256555643094,-10.7810403778435,72.5818023362503,38.937296776038,178982,1995,"F",FALSE,0,"#ID2828"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70.0181111517385,-6.36695030119366,68.6614434204503,0,164708,2016,"G",FALSE,0,"#ID2828"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,97.4975480127427,-7.72779896714531,17.8866002240324,64.564761521563,261434,1993,"b",FALSE,0,"#ID2828"
